"No.","Receive Frequency","Transmit Frequency","Color Code","Slot","Name"
"1","434.87500","432.87500","0","Slot2","Botkyrka 2 U"
"2","434.56250","432.56250","0","Slot2","Brandbergen U"
"3","434.83750","432.83750","0","Slot2","Dalaro U"
"4","434.68750","432.68750","0","Slot2","Galo U"
"5","434.92500","432.92500","0","Slot2","Johanneshov U"
"6","145.57500","144.97500","0","Slot2","Hogdalen V"
"7","145.58750","144.98750","0","Slot2","Nynashamn 7 V"
"8","434.61250","432.61250","0","Slot2","Nynashamn 2 U"
"9","434.88750","432.88750","0","Slot2","Sigtuna U"
"10","434.51250","432.51250","12","Slot2","Tyreso U"
"11","434.73750","432.73750","0","Slot2","Taby 2 U"
"12","434.76250","432.76250","0","Slot2","Upplands Vasby U"
"13","145.73750","145.13750","0","Slot2","Almsta 1 V"
"14","434.60000","432.60000","0","Slot2","Almsta 2 U"
"15","434.80000","432.80000","2","Slot2","Boden 2"
"16","145.72500","145.12500","2","Slot2","Kalix 1"
"17","434.72500","432.72500","2","Slot2","Kalix-Vattentorn"
"18","434.75000","432.75000","2","Slot2","Kalix 3"
"19","434.51250","432.51250","2","Slot2","Kiruna 2"
"20","434.90000","432.90000","2","Slot2","Lulea 2"
"21","434.85000","432.85000","2","Slot2","Pitea 3"
"22","145.67500","145.07500","2","Slot2","Seskaro"
"23","434.97500","432.97500","2","Slot2","Vannas 3"
"24","434.52500","432.52500","3","Slot2","Follinge"
"25","434.73750","432.73750","3","Slot2","Gavle 1"
"26","145.71250","145.11250","3","Slot2","Hudiksvall 1"
"27","434.57500","432.57500","3","Slot2","Hudiksvall 2"
"28","434.52500","432.52500","3","Slot2","Soderhamn 3"
"29","145.57500","144.97500","3","Slot2","Ornskoldsvik 1"
"30","434.56250","432.56250","3","Slot2","Ostersund 3"
"31","434.85000","432.85000","12","Slot2","Borlange 2"
"32","434.62500","432.62500","1","Slot2","Falun 2"
"33","145.75000","145.15000","4","Slot2","Karlskoga 1"
"34","434.85000","432.85000","4","Slot2","Karlskoga 2"
"35","145.58750","144.98750","4","Slot2","Leksand 1"
"36","434.61250","432.61250","4","Slot2","Leksand 3"
"37","434.66250","432.66250","4","Slot2","Vansbro 3"
"38","434.72500","432.72500","4","Slot2","Orebro 2"
"39","145.63750","145.03750","5","Slot2","Flen 1"
"40","434.52500","432.52500","5","Slot2","Knivsta"
"41","145.62500","145.02500","5","Slot2","Linkoping 1"
"42","434.95000","432.95000","5","Slot2","Norrkoping 4"
"43","434.63750","432.63750","5","Slot2","Nykoping 2"
"44","434.93750","432.93750","5","Slot2","Sala 2"
"45","145.58750","144.98750","5","Slot2","Uppsala 1"
"46","434.51250","432.51250","1","Slot2","Uppsala 4"
"47","434.58750","432.58750","5","Slot2","Uppsala 5"
"48","434.63750","432.63750","5","Slot2","Uppsala 6"
"49","434.53750","432.53750","6","Slot2","Alingsas 3"
"50","145.70000","145.10000","6","Slot2","Bengtsfors 1"
"51","434.68750","432.68750","6","Slot2","Bengtsfors 2"
"52","434.55000","432.55000","6","Slot2","Boras 3"
"53","434.82500","432.82500","6","Slot2","Floda 2"
"54","434.78750","432.78750","6","Slot2","Goteborg 5"
"55","434.85000","432.85000","6","Slot2","Ockero 2"
"56","145.58750","144.98750","6","Slot2","Kortedala 2"
"57","145.67500","145.07500","6","Slot2","Kungshamn"
"58","434.98750","432.98750","6","Slot2","Skara 3"
"59","145.71250","145.11250","6","Slot2","Stenungsund 2"
"60","434.56250","432.56250","6","Slot2","Stenungsund 3"
"61","145.57500","144.97500","6","Slot2","Tanumshede"
"62","145.76250","145.16250","6","Slot2","Trollhattan 1"
"63","434.87500","432.87500","6","Slot2","Trollhattan 3"
"64","145.73750","145.13750","6","Slot2","Uddevalla 1"
"65","434.77500","432.77500","6","Slot2","Uddevalla 2"
"66","434.55000","432.55000","7","Slot2","Algutsrum 2"
"67","434.92500","432.92500","7","Slot2","Aneby 3/Sjobo"
"68","434.95000","432.95000","7","Slot2","Bjarnum/Lonsboda"
"69","434.60000","432.60000","7","Slot2","Bzhlm/Hbg 2"
"70","145.71250","145.11250","7","Slot2","Ekenassjon 2"
"71","434.56250","432.56250","7","Slot2","Eksjo"
"72","434.78750","432.78750","7","Slot2","Emmaboda 2"
"73","145.57500","144.97500","7","Slot2","Gladsax 1"
"74","434.65000","432.65000","7","Slot2","Soderasen 2"
"75","434.91250","432.91250","7","Slot1","Hoor"
"76","434.97500","432.97500","7","Slot2","Jkp 3/O-ljunga"
"77","434.52500","432.52500","7","Slot2","Kristianstad 2"
"78","145.58750","144.98750","14","Slot2","Linderod"
"79","434.58750","432.58750","7","Slot2","Lund 2"
"80","434.77500","432.77500","7","Slot2","Malmo 2"
"81","145.58750","144.98750","7","Slot2","Nassjo 1"
"82","434.90000","432.90000","7","Slot2","Nassjo 4"
"83","434.52500","432.52500","7","Slot2","Savsjo"
"84","434.66250","432.66250","7","Slot2","Sodra Vi"
"85","434.63750","432.63750","7","Slot2","Tomelilla"
"86","434.70000","432.70000","7","Slot2","Vaxjo 2"
"87","434.67500","432.67500","7","Slot2","Vastervik 2"
"88","434.70000","432.70000","1","Slot2","Aamot"
"89","434.65000","432.65000","1","Slot2","Bardufoss"
"90","434.82500","432.82500","1","Slot2","Bergen"
"91","434.52500","432.52500","1","Slot2","Drammen"
"92","434.90000","432.90000","1","Slot2","Follo"
"93","434.65000","432.65000","1","Slot2","Geilo"
"94","434.70000","432.70000","1","Slot2","Grimstad"
"95","434.80000","432.80000","1","Slot2","Harstad"
"96","434.65000","432.65000","1","Slot2","Hvittingen"
"97","434.92500","432.92500","1","Slot2","Kolsas"
"98","434.83750","432.83750","1","Slot2","Kongsberg"
"99","434.62500","432.62500","1","Slot2","Kongsvinger 1"
"100","434.85000","432.85000","1","Slot2","Mo i Rana"
"101","434.82500","432.82500","1","Slot2","Mosjoen"
"102","434.75000","432.75000","1","Slot2","Narvik"
"103","434.75000","432.75000","1","Slot2","Oppegaard"
"104","434.80000","432.80000","1","Slot2","Sandnessjoen"
"105","434.51250","432.51250","1","Slot2","Skien Vealoes"
"106","434.97500","432.97500","1","Slot2","Stavanger"
"107","434.80000","432.80000","1","Slot2","Tromso"
"108","434.51250","432.51250","1","Slot2","Espoo"
"109","434.57500","432.57500","1","Slot2","Helsinki"
"110","434.58750","432.58750","1","Slot2","Hameenlinna"
"111","434.52500","432.52500","1","Slot2","Imatra"
"112","434.53750","432.53750","1","Slot2","Jyvaskyla"
"113","434.56250","432.56250","1","Slot2","Jamsa Himos"
"114","145.57500","144.97500","1","Slot2","Kokkola"
"115","434.56250","432.56250","1","Slot2","Kotka"
"116","434.58750","432.58750","1","Slot2","Kouvola"
"117","145.72500","145.12500","1","Slot2","Kuusamo"
"118","434.55000","432.55000","1","Slot2","Lahti"
"119","434.53750","432.53750","1","Slot2","Lappeenranta"
"120","145.57500","144.97500","1","Slot2","Lohja"
"121","434.75000","432.75000","1","Slot2","Mikkeli"
"122","434.56250","432.56250","1","Slot2","Nurmijarvi"
"123","145.63750","145.03750","1","Slot2","Oulu 1"
"124","434.57500","432.57500","1","Slot2","Oulu 2"
"125","434.56250","432.56250","1","Slot2","Pori"
"126","434.53750","432.53750","1","Slot2","Porvoo"
"127","434.55000","432.55000","1","Slot2","Raasepori"
"128","145.57500","144.97500","1","Slot2","Tampere"
"129","434.52500","432.52500","1","Slot2","Tampere Hervanta"
"130","434.55000","432.55000","1","Slot2","Tampere Tesoma"
"131","145.78750","145.18750","1","Slot2","Tervola"
"132","434.52500","432.52500","1","Slot2","Vantaa"
"133","434.56250","432.56250","1","Slot2","Viitasaari"
"134","434.90000","432.90000","1","Slot2","Virrat"
"135","145.58750","144.98750","1","Slot2","Ylivieska"
"136","434.51250","432.51250","1","Slot2","Aanekoski"
"137","434.57500","432.57500","12","Slot2","Aarhus S"
"138","434.71250","432.71250","11","Slot2","Frederikshavn"
"139","434.70000","432.70000","14","Slot2","Gorlose"
"140","434.62500","432.62500","14","Slot2","Herlev"
"141","434.63750","432.63750","9","Slot2","Regnemark"
"142","434.88750","432.88750","6","Slot2","Dingle"
"143","434.90000","432.90000","1","Slot2","Malmo 1"
"144","434.63750","432.63750","0","Slot2","Haninge 4"
"145","434.75000","432.75000","0","Slot2","Haugesund"
"146","434.85000","432.85000","14","Slot2","Gilleleje"
"147","434.85000","432.85000","0","Slot2","Mo_i_Rana"
"148","434.71250","432.71250","7","Slot2","Olofstrom 2 I"
"149","433.20000","433.20000","0","Slot2","Eksharad HI"
"150","432.50000","432.50000","1","Slot2","Sunne 2 HI"
"151","434.51250","432.51250","1","Slot2","Saarijarvi F"
"152","434.70000","434.70000","0","Slot2","Vangsasen"
"153","434.96250","432.96250","0","Slot2","Stockholm"
"154","434.63750","432.63750","0","Slot2","Helsingor 2"
"155","434.37500","434.37500","5","Slot2","Uppsala 3 H"
"156","434.70000","432.70000","3","Slot2","Gavle 1"
"157","434.55000","432.55000","1","Slot2","Jomala"
"158","434.67500","432.67500","11","Slot2","Vodskov"
"159","434.62500","432.62500","11","Slot2","Fredrikstad 4"
"160","434.68750","432.68750","11","Slot2","Aalborg 3 +"
"161","433.56250","433.56250","0","Slot2","Skene 2 HI"
"162","434.80000","432.80000","4","Slot2","Karlskoga 2"
"163","434.70000","432.70000","0","Slot2","Finspang 3"
"164","434.78750","432.78750","0","Slot2","Sodertalje 3"
"165","145.28750","145.28750","5","Slot2","Stigtomta LF"
"166","144.85000","144.85000","7","Slot2","Ekenassjon 1 H"
"167","434.90000","432.90000","0","Slot2","Virrat"
"168","434.92500","432.92500","7","Slot2","Sjobo"
"169","434.92500","432.92500","0","Slot2","Halmstad 3 U"
"170","434.51250","432.51250","0","Slot2","Espoo 1 U"
"171","434.52500","432.52500","1","Slot2","Tampere 2 UF"
"172","434.78750","432.78750","0","Slot2","Rimbo U"
"173","144.83750","144.83750","4","Slot2","Malung VH"
"174","434.55000","432.55000","0","Slot2","Vallentuna 3 U"
"175","145.58750","144.98750","0","Slot2","Skelleftea 2 V"
"176","434.61250","432.61250","7","Slot2","Malmo 1 UI"
"177","434.51250","432.51250","12","Slot2","Yding 4 U"
"178","145.57500","144.97500","0","Slot2","Jarlasa 2 V"
"179","434.77500","432.77500","3","Slot2","Ornskoldsvik 4 U"
"180","434.97500","432.97500","0","Slot2","Varmdo U"
"181","434.58750","432.58750","0","Slot2","Djuro U"
"182","145.66250","145.06250","4","Slot2","Ludvika 3 V"
"183","434.53750","432.53750","5","Slot2","Norrkoping 7 U"
